STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sector,Sector,sector2,Counterpart sector,expend,Expenditure and investment,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EDUC_UOE_FINE02(1.0),"Public educational expenditure by education level, programme orientation, type of source and expenditure category",A,Annual,MIO_EUR,Million euro,S13,General government,S1,Total economy,TOTAL,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2014,,5901.3,,,,,
dataflow,ESTAT:EDUC_UOE_FINE02(1.0),"Public educational expenditure by education level, programme orientation, type of source and expenditure category",A,Annual,MIO_EUR,Million euro,S13,General government,S1,Total economy,TOTAL,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2015,,6130.3,,,,,
dataflow,ESTAT:EDUC_UOE_FINE02(1.0),"Public educational expenditure by education level, programme orientation, type of source and expenditure category",A,Annual,MIO_EUR,Million euro,S13,General government,S1,Total economy,TOTAL,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2016,,6366.3,,,,,
dataflow,ESTAT:EDUC_UOE_FINE02(1.0),"Public educational expenditure by education level, programme orientation, type of source and expenditure category",A,Annual,MIO_EUR,Million euro,S13,General government,S1,Total economy,TOTAL,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2017,,6322.5,,,,,
dataflow,ESTAT:EDUC_UOE_FINE02(1.0),"Public educational expenditure by education level, programme orientation, type of source and expenditure category",A,Annual,MIO_EUR,Million euro,S13,General government,S1,Total economy,TOTAL,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2018,,6546.2,,,,,
dataflow,ESTAT:EDUC_UOE_FINE02(1.0),"Public educational expenditure by education level, programme orientation, type of source and expenditure category",A,Annual,MIO_EUR,Million euro,S13,General government,S1,Total economy,TOTAL,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2019,,6196.7,,,,,
dataflow,ESTAT:EDUC_UOE_FINE02(1.0),"Public educational expenditure by education level, programme orientation, type of source and expenditure category",A,Annual,MIO_EUR,Million euro,S13,General government,S1,Total economy,TOTAL,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2020,,7085.5,,,,,
dataflow,ESTAT:EDUC_UOE_FINE02(1.0),"Public educational expenditure by education level, programme orientation, type of source and expenditure category",A,Annual,MIO_EUR,Million euro,S13,General government,S1,Total economy,TOTAL,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2021,,7510.9,,,,,
dataflow,ESTAT:EDUC_UOE_FINE02(1.0),"Public educational expenditure by education level, programme orientation, type of source and expenditure category",A,Annual,MIO_EUR,Million euro,S13,General government,S1,Total economy,TOTAL,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2022,,7975.0,,,,,
dataflow,ESTAT:EDUC_UOE_FINE02(1.0),"Public educational expenditure by education level, programme orientation, type of source and expenditure category",A,Annual,MIO_EUR,Million euro,S13,General government,S1,Total economy,TOTAL,Total,ED5-8,Tertiary education (levels 5-8),BA,Bosnia and Herzegovina,2016,,114.6,,,,,
