STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sector,Sector,cofog99,Classification of the functions of government (COFOG 1999),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,AT,Austria,2014,,172966.9,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,AT,Austria,2015,,175200.9,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,AT,Austria,2016,,180108.2,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,AT,Austria,2017,,182990.1,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,AT,Austria,2018,,188523.5,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,AT,Austria,2019,,194188.9,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,AT,Austria,2020,,217971.0,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,AT,Austria,2021,,227597.4,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,AT,Austria,2022,,238015.4,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,AT,Austria,2023,,249471.2,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,BE,Belgium,2014,,224413.9,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,BE,Belgium,2015,,223895.1,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,BE,Belgium,2016,,228709.1,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,BE,Belgium,2017,,231699.2,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,BE,Belgium,2018,,241008.5,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,BE,Belgium,2019,,248119.7,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,BE,Belgium,2020,,271075.8,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,BE,Belgium,2021,,278017.3,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,BE,Belgium,2022,,294710.9,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,BE,Belgium,2023,,318074.9,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,BG,Bulgaria,2014,,18574.8,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,BG,Bulgaria,2015,,18494.9,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,BG,Bulgaria,2016,,16952.1,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,BG,Bulgaria,2017,,18265.4,,,,,
